Instant,WeekDay,Hour,Operators,LHDs,56 W,58 E,58 R,60 E,60 W,Buckets
152,7,13,9,0,0,0,0,0,0,0
153,7,14,12,0,0,0,0,0,0,0
154,7,15,11,0,0,0,0,0,0,0
155,7,16,1,0,0,0,0,0,0,0
156,7,17,12,0,0,0,0,0,0,0
157,7,18,12,0,0,0,0,0,0,0
158,7,19,4,0,0,0,0,0,0,0
159,7,20,1,0,0,0,0,0,0,0
160,7,21,5,0,0,0,0,0,0,0
161,7,22,4,0,9,2,8,11,7,31
162,7,23,4,6,0,0,0,3,34,37
163,1,0,1,1,0,0,8,7,22,37
164,1,1,9,6,5,4,9,3,30,47
165,1,2,6,6,3,4,0,5,12,24
166,1,3,11,6,0,0,1,13,14,28
167,1,4,5,3,3,0,4,3,7,20
168,1,5,1,3,2,1,4,4,33,45
169,1,6,4,0,0,0,0,0,0,0
170,1,7,6,0,0,0,0,0,0,0
171,1,8,7,0,0,0,0,0,0,0
172,1,9,12,0,0,0,0,0,0,0
173,1,10,4,0,1,2,5,8,5,35
174,1,11,9,0,0,0,0,1,16,17
175,1,12,12,0,0,1,0,3,1,10
176,1,13,2,0,0,0,0,0,0,0
177,1,14,1,0,0,0,0,0,0,0
178,1,15,1,0,0,0,0,0,0,0
179,1,16,4,0,0,0,0,0,0,0
180,1,17,2,0,0,0,0,0,0,0
181,1,18,6,0,0,0,0,0,0,0
182,1,19,2,0,0,0,0,0,0,0
183,1,20,11,0,0,0,0,0,0,0
184,1,21,3,0,0,0,0,0,0,0
185,1,22,2,1,2,0,2,31,0,34
186,1,23,2,1,0,2,2,0,9,14
187,2,0,1,4,0,5,1,0,4,10
188,2,1,8,2,2,3,3,0,11,19
189,2,2,10,1,0,0,0,22,19,41
190,2,3,5,2,0,1,2,8,27,42
191,2,4,1,4,10,7,8,12,11,42
192,2,5,6,5,0,0,0,0,40,40
193,2,6,7,0,0,0,0,0,0,0
194,2,7,9,0,0,0,0,0,0,0
195,2,8,4,0,0,32,0,0,0,32
196,2,9,10,4,2,0,2,1,18,21
197,2,10,10,3,0,0,2,6,18,26
198,2,11,7,2,0,1,0,1,36,38
199,2,12,11,3,0,1,1,27,10,40
200,2,13,11,6,0,0,1,13,0,14
201,2,14,1,0,0,0,0,0,0,0
202,2,15,3,3,0,0,0,1,12,13
203,2,16,3,1,0,1,0,1,16,18
204,2,17,3,6,1,0,0,44,2,49
205,2,18,5,3,0,0,0,10,8,20
206,2,19,11,4,0,2,0,0,28,30
207,2,20,9,6,11,3,3,4,8,34
208,2,21,6,3,17,0,19,4,5,35
209,2,22,9,0,0,0,0,0,0,0
210,2,23,10,0,1,0,3,1,21,27
211,3,0,10,6,0,0,0,1,12,13
212,3,1,1,3,0,1,1,3,17,22
213,3,2,2,4,4,1,3,5,11,23
214,3,3,2,3,1,0,12,11,10,33
215,3,4,8,2,8,0,7,4,9,22
216,3,5,7,1,3,1,5,2,2,10
217,3,6,1,0,0,0,0,0,0,0
218,3,7,8,0,0,0,0,2,24,26
219,3,8,3,0,5,1,5,27,0,34
220,3,9,11,5,8,4,8,13,22,48
221,3,10,9,3,0,0,0,6,8,14
222,3,11,11,3,0,0,0,2,11,14
223,3,12,6,6,3,1,2,0,8,12
224,3,13,5,6,0,2,0,2,20,25
225,3,14,7,0,0,0,0,0,0,0
226,3,15,2,4,8,17,12,8,4,45
227,3,16,6,2,0,0,0,16,27,43
228,3,17,12,1,12,1,12,12,18,43
229,3,18,3,3,1,0,1,19,1,21
230,3,19,5,4,0,3,0,5,6,14
231,3,20,11,4,0,0,0,18,2,20
232,3,21,4,5,0,0,4,9,5,18
233,3,22,2,0,0,0,0,0,0,0
234,3,23,4,1,1,0,2,12,19,34
235,4,0,3,3,0,0,1,14,7,22
236,4,1,8,2,1,2,3,8,13,29
237,4,2,11,3,1,5,3,23,1,33
238,4,3,5,5,1,1,4,33,10,49
239,4,4,12,4,0,0,0,14,23,37
240,4,5,4,4,1,0,1,1,48,50
241,4,6,6,0,0,0,0,0,0,0
242,4,7,9,0,0,0,0,1,15,16
243,4,8,3,4,2,1,2,9,2,14
244,4,9,8,1,1,3,1,1,9,16
245,4,10,12,2,10,0,10,0,13,23
246,4,11,10,0,2,1,7,22,2,33
247,4,12,3,2,2,5,13,12,0,33
248,4,13,12,1,0,1,6,0,8,20
249,4,14,1,0,0,0,0,0,0,0
250,4,15,5,3,16,3,17,2,23,50
251,4,16,6,3,1,1,0,3,7,12
252,4,17,11,4,5,1,5,8,9,24
253,4,18,4,3,3,2,1,3,31,39
254,4,19,11,4,3,2,4,2,14,24
255,4,20,4,4,0,0,0,1,13,14
256,4,21,11,1,0,0,1,3,6,10
257,4,22,10,0,0,0,0,0,0,0
258,4,23,1,6,0,3,0,7,27,37
259,5,0,2,1,3,5,0,16,16,43
260,5,1,7,5,0,2,0,9,26,37
261,5,2,5,2,14,0,11,26,8,49
262,5,3,11,5,0,17,0,5,9,31
263,5,4,4,4,0,3,9,4,15,37
264,5,5,3,3,2,0,2,4,32,38
265,5,6,11,0,0,0,0,0,0,0
266,5,7,2,0,0,0,0,0,0,0
267,5,8,5,0,1,0,1,2,42,45
268,5,9,8,0,1,6,1,12,10,30
269,5,10,7,1,5,1,9,7,31,48
270,5,11,3,4,0,0,1,0,29,30
271,5,12,6,2,1,0,2,31,14,47
272,5,13,8,6,5,2,7,4,25,41
273,5,14,4,0,0,0,0,0,0,0
274,5,15,7,0,2,0,2,3,22,30
275,5,16,6,6,0,7,14,24,3,48
276,5,17,9,1,0,0,0,0,19,19
277,5,18,6,6,1,0,0,7,26,34
278,5,19,11,5,0,0,0,3,7,10
279,5,20,8,3,4,6,0,1,0,12
280,5,21,3,2,2,1,3,6,29,39
281,5,22,12,0,0,0,0,0,0,0
282,5,23,5,6,1,0,0,0,20,21
283,6,0,2,4,1,0,0,2,41,44
284,6,1,9,1,14,0,14,7,2,28
285,6,2,1,3,4,5,2,29,10,49
286,6,3,4,6,6,1,7,6,26,40
287,6,4,7,1,0,0,1,0,30,32
288,6,5,3,6,0,0,3,19,1,23
289,6,6,9,0,0,0,0,0,0,0
290,6,7,10,3,0,1,0,10,37,48
291,6,8,1,3,2,1,2,27,13,44
292,6,9,10,4,3,1,3,7,18,30
293,6,10,4,5,0,5,5,5,14,30
294,6,11,9,2,6,12,3,7,10,43
295,6,12,7,5,3,0,1,0,15,21
296,6,13,7,3,1,0,3,6,9,19
297,6,14,2,0,0,0,0,0,0,0
298,6,15,11,5,1,0,0,0,13,15
299,6,16,11,1,0,20,1,1,3,27
300,6,17,7,6,2,2,3,0,40,45
301,6,18,3,6,11,8,7,9,20,50
302,6,19,10,2,1,2,0,1,10,16
303,6,20,5,2,5,0,3,5,11,24
304,6,21,7,2,4,5,0,0,32,41
305,6,22,5,0,4,1,3,14,5,24
306,6,23,12,2,0,0,0,8,9,18
307,7,0,12,2,1,0,0,0,18,21
308,7,1,2,2,2,7,3,2,22,34
309,7,2,5,2,1,9,1,3,18,32
310,7,3,9,0,8,0,2,3,7,19
311,7,4,10,3,0,1,0,1,31,34
312,7,5,9,4,1,0,0,0,45,46
313,7,6,10,0,0,0,0,0,0,0
314,7,7,4,1,0,0,0,0,31,31
315,7,8,2,1,0,0,0,0,42,42
316,7,9,3,5,0,0,0,5,27,32
317,7,10,8,5,0,0,0,4,10,14
318,7,11,6,1,5,1,12,9,6,29
319,7,12,9,4,15,1,10,3,15,35
320,7,13,10,0,0,0,0,0,0,0
321,7,14,5,0,0,0,0,0,0,0
322,7,15,7,0,0,0,0,0,0,0
323,7,16,6,0,0,0,0,0,0,0
324,7,17,7,0,0,0,0,0,0,0
325,7,18,11,0,0,0,0,0,0,0
326,7,19,6,0,0,0,0,0,0,0
327,7,20,6,0,0,0,0,0,0,0
328,7,21,2,0,0,0,0,0,0,0
329,7,22,3,0,0,0,0,0,0,0
330,7,23,6,0,0,0,0,0,0,0
331,1,0,5,1,3,1,10,10,8,37
332,1,1,10,3,0,0,2,1,6,12
333,1,2,9,3,1,2,0,1,34,38
334,1,3,4,4,1,0,1,0,10,12
335,1,4,10,3,2,0,2,13,21,36
336,1,5,2,0,0,0,0,0,0,0
337,1,6,3,0,0,0,0,0,0,0
338,1,7,10,0,0,0,0,0,0,0
339,1,8,4,0,0,0,0,0,0,0
340,1,9,4,0,0,0,0,0,0,0
341,1,10,12,0,0,0,0,0,0,0
342,1,11,9,0,0,0,0,0,0,0
343,1,12,7,0,0,0,0,0,0,0
344,1,13,11,0,0,0,0,0,0,0
345,1,14,5,0,0,0,0,0,0,0
346,1,15,7,0,0,0,0,0,0,0
347,1,16,5,0,0,0,0,0,0,0
348,1,17,4,0,0,0,0,0,0,0
349,1,18,5,0,0,0,0,0,0,0
350,1,19,3,0,0,0,0,0,0,0
351,1,20,6,0,0,0,0,0,0,0
352,1,21,9,0,0,0,0,0,0,0
353,1,22,5,0,0,0,0,0,0,0
354,1,23,4,0,0,0,0,0,0,0
355,2,0,11,5,0,0,0,7,6,13
356,2,1,4,1,14,4,4,3,5,50
357,2,2,11,3,1,1,1,8,0,10
358,2,3,6,3,4,4,7,0,4,18
359,2,4,4,1,3,0,0,0,34,39
360,2,5,11,0,0,1,7,6,13,27
361,2,6,4,0,0,0,0,0,0,0
362,2,7,11,5,2,0,3,18,0,25
363,2,8,7,5,0,1,2,0,7,10
364,2,9,4,4,0,0,0,0,20,20
365,2,10,12,4,5,5,6,19,11,47
366,2,11,12,1,9,2,6,0,12,34
367,2,12,9,5,0,0,1,3,23,27
368,2,13,3,0,6,3,5,20,0,29
369,2,14,12,0,0,0,0,0,0,0
370,2,15,4,4,1,3,2,5,17,36
371,2,16,5,1,3,4,4,5,8,21
372,2,17,7,6,20,2,28,2,13,46
373,2,18,8,6,0,0,2,16,19,39
374,2,19,12,1,1,0,0,13,7,24
375,2,20,9,3,3,5,1,0,5,13
376,2,21,9,6,0,3,5,3,0,29
377,2,22,12,0,7,2,6,33,1,45
378,2,23,4,3,2,3,8,0,28,39
379,3,0,3,2,0,0,2,2,5,10
380,3,1,5,6,0,4,0,5,4,13
381,3,2,8,4,3,2,5,17,11,35
382,3,3,7,5,0,0,0,9,15,24
383,3,4,8,2,4,0,2,14,23,47
384,3,5,6,0,9,2,14,27,2,49
385,3,6,8,0,0,0,0,0,0,0
386,3,7,5,6,5,1,9,1,34,45
387,3,8,11,3,11,8,22,12,1,44
388,3,9,10,6,3,2,3,15,1,21
389,3,10,2,1,0,0,8,8,22,38
390,3,11,4,5,2,0,2,0,45,47
391,3,12,8,1,0,0,0,22,14,36
392,3,13,4,3,3,0,7,17,3,32
393,3,14,1,0,0,0,0,0,0,0
394,3,15,4,2,5,2,5,15,17,39
395,3,16,3,4,2,5,1,9,24,40
396,3,17,12,6,3,22,6,6,9,45
397,3,18,5,2,1,2,1,22,12,37
398,3,19,5,5,8,1,11,8,20,41
399,3,20,6,5,0,0,1,6,3,10
400,3,21,12,0,0,0,0,0,0,0
401,3,22,3,0,0,0,0,0,0,0
402,3,23,8,0,0,0,4,6,17,27
403,4,0,9,6,0,1,0,1,11,13
404,4,1,5,2,2,3,0,4,5,14
405,4,2,2,2,0,1,1,6,10,18
406,4,3,12,5,0,0,4,1,43,48
407,4,4,2,4,0,0,0,16,18,35
408,4,5,3,2,6,1,1,2,40,49
409,4,6,8,0,0,0,0,0,0,0
410,4,7,6,0,0,0,0,0,0,0
411,4,8,1,4,3,0,3,2,10,19
412,4,9,7,5,0,0,0,0,37,37
413,4,10,7,3,4,11,5,10,12,38
414,4,11,5,6,0,0,0,4,26,30
415,4,12,10,4,0,0,0,10,1,11
416,4,13,2,5,0,3,0,17,3,23
417,4,14,4,0,0,0,0,0,0,0
418,4,15,4,3,1,7,0,7,20,36
419,4,16,10,1,2,2,8,18,10,38
420,4,17,11,1,22,0,35,0,11,47
421,4,18,6,6,2,1,3,3,39,47
422,4,19,11,1,0,1,5,12,1,19
423,4,20,2,2,2,0,4,1,8,13
424,4,21,4,1,14,4,28,1,7,41
425,4,22,2,0,0,0,0,0,0,0
426,4,23,10,4,5,0,7,3,12,22
427,5,0,10,6,7,0,5,30,1,40
428,5,1,10,2,1,0,4,13,13,30
429,5,2,4,0,0,11,0,18,10,42
430,5,3,9,4,1,14,4,0,2,20
431,5,4,11,1,4,0,8,1,4,15
432,5,5,9,6,1,1,2,17,6,30
433,5,6,8,0,0,0,0,0,0,0
434,5,7,10,1,5,0,5,3,23,31
435,5,8,2,2,8,0,11,5,13,29
436,5,9,2,6,17,10,10,2,12,41
437,5,10,6,5,7,2,0,27,2,40
438,5,11,1,4,7,0,5,0,26,38
439,5,12,7,4,0,0,1,0,9,10
440,5,13,8,5,0,2,0,1,13,16
441,5,14,8,0,0,0,0,0,0,0
442,5,15,10,3,4,3,3,2,17,27
443,5,16,7,4,20,1,31,7,1,40
444,5,17,3,4,0,0,0,0,14,14
445,5,18,5,1,0,0,0,3,8,13
446,5,19,2,0,2,0,2,2,8,12
447,5,20,7,3,0,3,11,6,7,27
448,5,21,7,5,0,0,2,0,11,13
449,5,22,7,0,0,0,0,0,0,0
450,5,23,1,1,5,0,2,8,26,39
451,6,0,5,4,2,0,4,2,11,17
452,6,1,10,5,1,0,2,0,14,16
453,6,2,12,2,2,6,1,11,23,47
454,6,3,1,1,3,0,3,5,40,48
455,6,4,9,2,12,1,0,14,14,42
456,6,5,6,3,0,0,0,8,3,11
457,6,6,12,0,0,0,0,0,0,0
458,6,7,4,6,0,0,0,9,12,21
459,6,8,12,4,1,1,0,33,14,49
460,6,9,3,1,3,7,16,11,5,41
461,6,10,6,1,1,0,1,3,8,12
462,6,11,2,5,0,0,0,0,10,10
463,6,12,3,1,8,12,0,1,18,41
464,6,13,7,5,1,0,2,2,22,27
465,6,14,6,0,0,0,0,0,0,0
466,6,15,7,4,8,1,0,38,2,49
467,6,16,7,2,6,0,2,6,17,30
468,6,17,3,3,9,4,7,7,3,24
469,6,18,2,5,2,1,0,13,5,22
470,6,19,6,1,3,0,6,7,13,26
471,6,20,8,3,0,3,0,5,24,32
472,6,21,9,3,1,0,0,1,29,31
473,6,22,7,0,0,2,0,2,7,11
474,6,23,1,5,3,4,5,16,23,48
475,7,0,7,5,0,2,1,39,1,43
476,7,1,5,3,2,0,16,1,17,35
477,7,2,2,6,0,0,0,0,0,0
478,7,3,10,2,0,0,0,0,0,0
479,7,4,12,2,0,0,0,0,0,0
480,7,5,8,0,0,0,0,0,0,0
481,7,6,7,0,0,0,0,0,0,0
482,7,7,4,0,0,0,0,0,0,0
483,7,8,5,0,0,0,0,0,0,0
484,7,9,8,0,0,0,0,0,0,0
485,7,10,3,0,8,3,7,11,16,39
486,7,11,2,0,1,0,3,12,3,21
487,7,12,5,0,8,0,6,7,7,23
488,7,13,6,0,6,0,8,10,30,49
489,7,14,10,0,0,0,0,0,0,0
490,7,15,9,0,0,0,0,0,0,0
491,7,16,6,0,0,0,0,0,0,0
492,7,17,6,0,0,0,0,0,0,0
493,7,18,6,0,0,0,0,0,0,0
494,7,19,8,0,0,0,0,0,0,0
495,7,20,3,0,0,0,0,0,0,0
496,7,21,7,0,0,0,0,0,0,0
497,7,22,4,0,0,0,0,0,0,0
498,7,23,1,0,0,0,0,0,0,0
499,1,0,6,0,0,0,0,0,0,0
500,1,1,2,3,0,0,0,0,0,0
501,1,2,8,3,0,0,0,0,0,0
502,1,3,3,1,0,0,0,0,0,0
503,1,4,5,4,0,0,0,0,0,0
504,1,5,12,0,0,7,6,28,8,49
505,1,6,10,0,0,0,0,0,19,19
506,1,7,5,0,0,5,0,6,33,44
507,1,8,2,0,0,1,9,3,14,27
508,1,9,5,0,5,1,3,8,17,31
509,1,10,6,0,1,0,0,21,6,30
510,1,11,5,0,1,0,1,5,4,11
511,1,12,2,0,0,0,0,0,0,0
512,1,13,3,0,0,0,0,0,0,0
513,1,14,5,0,7,1,3,27,1,39
514,1,15,1,0,0,0,0,0,0,0
515,1,16,11,0,1,12,1,6,27,46
516,1,17,1,0,0,0,0,15,35,50
517,1,18,8,0,0,0,0,0,10,11
518,1,19,12,0,4,0,5,6,2,14
519,1,20,8,0,0,0,0,0,0,0
520,1,21,6,0,0,0,0,0,0,0
521,1,22,7,0,0,0,0,0,46,46
522,1,23,4,2,3,0,3,13,27,43
523,2,0,5,2,0,0,0,0,20,20
524,2,1,2,1,0,0,1,0,31,32
525,2,2,12,6,5,1,13,19,16,50
526,2,3,5,1,8,2,8,0,34,45
527,2,4,10,1,0,0,0,0,0,0
528,2,5,11,0,2,0,5,1,14,20
529,2,6,9,0,0,0,0,0,21,21
530,2,7,4,0,5,1,3,12,6,24
531,2,8,12,0,4,7,25,0,1,35
532,2,9,12,0,3,2,4,23,16,45
533,2,10,3,0,6,5,1,8,10,32
534,2,11,12,0,2,3,5,17,17,50
535,2,12,7,2,0,0,0,0,0,0
536,2,13,3,0,0,0,0,2,36,38
537,2,14,9,0,5,4,4,1,24,34
538,2,15,3,0,0,2,2,34,2,40
539,2,16,8,1,2,5,15,1,21,42
540,2,17,1,2,5,4,3,11,21,42
541,2,18,4,1,0,9,8,27,2,48
542,2,19,11,3,9,2,11,4,22,41
543,2,20,3,3,0,0,0,0,0,0
544,2,21,11,1,2,0,1,11,35,49
545,2,22,7,0,2,0,3,0,41,44
546,2,23,6,1,0,0,0,1,35,36
547,3,0,1,3,4,0,5,8,7,21
548,3,1,2,5,5,0,11,19,13,45
549,3,2,1,2,0,0,0,3,21,24
550,3,3,3,5,0,0,0,0,0,0
551,3,4,5,1,0,0,0,0,0,0
552,3,5,8,2,1,3,1,7,12,23
553,3,6,4,0,4,3,5,1,3,15
554,3,7,9,0,8,4,11,1,2,18
555,3,8,1,0,5,4,24,11,5,48
556,3,9,11,1,1,0,1,3,16,20
557,3,10,5,3,1,1,1,16,10,28
558,3,11,8,5,1,0,8,9,9,27
559,3,12,2,3,0,0,0,0,0,0
560,3,13,4,3,0,0,0,12,2,14
561,3,14,3,0,11,13,2,4,10,45
562,3,15,4,3,3,2,1,2,1,10
563,3,16,6,0,11,0,12,1,8,22
564,3,17,12,0,11,0,11,7,1,19
565,3,18,9,3,0,1,0,7,33,41
566,3,19,4,0,0,0,6,1,7,18
567,3,20,7,0,0,0,0,0,0,0
568,3,21,12,0,0,0,0,0,13,13
569,3,22,12,0,1,0,0,4,37,42
570,3,23,11,6,10,0,8,4,24,42
571,4,0,3,1,0,0,0,34,13,47
572,4,1,1,4,0,0,3,10,16,29
573,4,2,10,5,3,0,4,3,7,16
574,4,3,5,4,7,3,2,5,17,38
575,4,4,5,1,0,0,0,0,0,0
576,4,5,1,4,4,6,0,17,2,34
577,4,6,12,0,6,0,6,18,19,44
578,4,7,5,0,7,0,18,19,4,44
579,4,8,1,6,7,0,18,3,3,24
580,4,9,3,2,1,1,2,36,6,45
581,4,10,9,2,5,3,3,8,34,50
582,4,11,1,6,0,0,0,0,0,0
583,4,12,7,1,0,0,0,0,0,0
584,4,13,6,6,9,1,6,4,17,33
585,4,14,9,0,1,0,0,6,14,22
586,4,15,1,4,4,0,9,1,8,18
587,4,16,8,4,0,0,5,3,29,37
588,4,17,11,2,0,0,0,5,11,16
589,4,18,11,3,7,0,5,6,4,17
590,4,19,1,6,0,0,0,0,0,0
591,4,20,9,2,0,0,0,0,0,0
592,4,21,8,0,0,0,0,0,0,0
593,4,22,2,0,0,0,0,0,0,0
594,4,23,11,2,0,0,0,0,0,0
595,5,0,12,5,0,0,0,0,0,0
596,5,1,7,4,0,0,0,0,0,0
597,5,2,6,1,0,0,0,0,0,0
598,5,3,4,6,0,0,0,0,0,0
599,5,4,2,1,0,0,0,0,0,0
600,5,5,8,0,0,0,0,0,0,0
601,5,6,7,0,0,0,0,0,0,0
602,5,7,1,0,0,0,0,0,0,0
603,5,8,6,0,0,0,0,0,0,0
604,5,9,1,3,0,0,0,0,0,0
605,5,10,6,6,0,0,0,0,0,0
606,5,11,12,0,0,0,0,0,0,0
607,5,12,12,2,0,0,0,0,0,0
608,5,13,5,0,0,0,0,0,0,0
609,5,14,10,0,0,0,0,0,0,0
610,5,15,1,0,0,0,0,0,0,0
611,5,16,4,0,1,0,1,2,23,27
612,5,17,2,0,1,3,1,14,22,40
613,5,18,3,0,0,0,0,0,0,0
614,5,19,4,0,0,0,0,0,0,0
615,5,20,12,0,0,0,0,0,0,0
616,5,21,6,0,0,0,0,0,0,0
617,5,22,9,0,0,0,0,0,0,0
618,5,23,10,0,0,0,0,0,0,0
619,6,0,2,0,0,0,0,0,0,0
620,6,1,11,0,0,0,0,0,0,0
621,6,2,4,0,0,0,0,0,0,0
622,6,3,4,0,0,0,0,0,0,0
623,6,4,3,0,0,0,0,0,0,0
624,6,5,1,0,0,0,0,0,0,0
625,6,6,7,0,0,0,0,0,0,0
626,6,7,4,0,0,0,0,0,0,0
627,6,8,3,0,0,0,0,0,0,0
628,6,9,5,0,0,0,0,0,0,0
629,6,10,8,0,0,0,0,0,0,0
630,6,11,3,0,0,0,0,0,0,0
631,6,12,7,0,0,0,0,0,0,0
632,6,13,10,0,0,0,0,0,0,0
